emoji,name,group,subgroup,literal,clarity,keep
❤️‍🔥,heart on fire,Smileys & Emotion,heart,heart-fire,,
❤️‍🩹,mending heart,Smileys & Emotion,heart,mending-heart,,
❤️,red heart,Smileys & Emotion,heart,red-heart,,
🩷,pink heart,Smileys & Emotion,heart,pink-heart,,
🧡,orange heart,Smileys & Emotion,heart,orange-heart,,
💛,yellow heart,Smileys & Emotion,heart,yellow-heart,,
💚,green heart,Smileys & Emotion,heart,green-heart,,
💙,blue heart,Smileys & Emotion,heart,blue-heart,,
🩵,light blue heart,Smileys & Emotion,heart,light-blue-heart,,
💜,purple heart,Smileys & Emotion,heart,purple-heart,,
🤎,brown heart,Smileys & Emotion,heart,brown-heart,,
🖤,black heart,Smileys & Emotion,heart,black-heart,,
🩶,grey heart,Smileys & Emotion,heart,grey-heart,,
🤍,white heart,Smileys & Emotion,heart,white-heart,,
💋,kiss mark,Smileys & Emotion,emotion,kiss-mark,,
💯,hundred points,Smileys & Emotion,emotion,hundred,,
💢,anger symbol,Smileys & Emotion,emotion,anger,,
🫯,fight cloud,Smileys & Emotion,emotion,fight,,
💥,collision,Smileys & Emotion,emotion,boom,,
💫,dizzy,Smileys & Emotion,emotion,dizzy,,
💦,sweat droplets,Smileys & Emotion,emotion,sweat,,
💨,dashing away,Smileys & Emotion,emotion,dash,,
🕳️,hole,Smileys & Emotion,emotion,hole,,
💬,speech balloon,Smileys & Emotion,emotion,speech,,
👁️‍🗨️,eye in speech bubble,Smileys & Emotion,emotion,witness,,
🗨️,left speech bubble,Smileys & Emotion,emotion,speech-left,,
🗯️,right anger bubble,Smileys & Emotion,emotion,anger-speech,,
💭,thought balloon,Smileys & Emotion,emotion,thought,,
💤,ZZZ,Smileys & Emotion,emotion,sleep,,
👋,waving hand,People & Body,hand-fingers-open,wave,,
👋🏻,waving hand: light skin tone,People & Body,hand-fingers-open,wave,,
👋🏼,waving hand: medium-light skin tone,People & Body,hand-fingers-open,wave,,
👋🏽,waving hand: medium skin tone,People & Body,hand-fingers-open,wave,,
👋🏾,waving hand: medium-dark skin tone,People & Body,hand-fingers-open,wave,,
👋🏿,waving hand: dark skin tone,People & Body,hand-fingers-open,wave,,
🤚,raised back of hand,People & Body,hand-fingers-open,raised-hand,,
🤚🏻,raised back of hand: light skin tone,People & Body,hand-fingers-open,raised-hand,,
🤚🏼,raised back of hand: medium-light skin tone,People & Body,hand-fingers-open,raised-hand,,
🤚🏽,raised back of hand: medium skin tone,People & Body,hand-fingers-open,raised-hand,,
🤚🏾,raised back of hand: medium-dark skin tone,People & Body,hand-fingers-open,raised-hand,,
🤚🏿,raised back of hand: dark skin tone,People & Body,hand-fingers-open,raised-hand,,
🖐️,hand with fingers splayed,People & Body,hand-fingers-open,splayed-hand,,
🖐🏻,hand with fingers splayed: light skin tone,People & Body,hand-fingers-open,splayed-hand,,
🖐🏼,hand with fingers splayed: medium-light skin tone,People & Body,hand-fingers-open,splayed-hand,,
🖐🏽,hand with fingers splayed: medium skin tone,People & Body,hand-fingers-open,splayed-hand,,
🖐🏾,hand with fingers splayed: medium-dark skin tone,People & Body,hand-fingers-open,splayed-hand,,
🖐🏿,hand with fingers splayed: dark skin tone,People & Body,hand-fingers-open,splayed-hand,,
✋,raised hand,People & Body,hand-fingers-open,raised-hand,,
✋🏻,raised hand: light skin tone,People & Body,hand-fingers-open,raised-hand,,
✋🏼,raised hand: medium-light skin tone,People & Body,hand-fingers-open,raised-hand,,
✋🏽,raised hand: medium skin tone,People & Body,hand-fingers-open,raised-hand,,
✋🏾,raised hand: medium-dark skin tone,People & Body,hand-fingers-open,raised-hand,,
✋🏿,raised hand: dark skin tone,People & Body,hand-fingers-open,raised-hand,,
🖖,vulcan salute,People & Body,hand-fingers-open,vulcan-salute,,
🖖🏻,vulcan salute: light skin tone,People & Body,hand-fingers-open,vulcan-salute,,
🖖🏼,vulcan salute: medium-light skin tone,People & Body,hand-fingers-open,vulcan-salute,,
🖖🏽,vulcan salute: medium skin tone,People & Body,hand-fingers-open,vulcan-salute,,
🖖🏾,vulcan salute: medium-dark skin tone,People & Body,hand-fingers-open,vulcan-salute,,
🖖🏿,vulcan salute: dark skin tone,People & Body,hand-fingers-open,vulcan-salute,,
🫱,rightwards hand,People & Body,hand-fingers-open,right-hand,,
🫱🏻,rightwards hand: light skin tone,People & Body,hand-fingers-open,right-hand,,
🫱🏼,rightwards hand: medium-light skin tone,People & Body,hand-fingers-open,right-hand,,
🫱🏽,rightwards hand: medium skin tone,People & Body,hand-fingers-open,right-hand,,
🫱🏾,rightwards hand: medium-dark skin tone,People & Body,hand-fingers-open,right-hand,,
🫱🏿,rightwards hand: dark skin tone,People & Body,hand-fingers-open,right-hand,,
🫲,leftwards hand,People & Body,hand-fingers-open,left-hand,,
🫲🏻,leftwards hand: light skin tone,People & Body,hand-fingers-open,left-hand,,
🫲🏼,leftwards hand: medium-light skin tone,People & Body,hand-fingers-open,left-hand,,
🫲🏽,leftwards hand: medium skin tone,People & Body,hand-fingers-open,left-hand,,
🫲🏾,leftwards hand: medium-dark skin tone,People & Body,hand-fingers-open,left-hand,,
🫲🏿,leftwards hand: dark skin tone,People & Body,hand-fingers-open,left-hand,,
🫳,palm down hand,People & Body,hand-fingers-open,palm-down,,
🫳🏻,palm down hand: light skin tone,People & Body,hand-fingers-open,palm-down,,
🫳🏼,palm down hand: medium-light skin tone,People & Body,hand-fingers-open,palm-down,,
🫳🏽,palm down hand: medium skin tone,People & Body,hand-fingers-open,palm-down,,
🫳🏾,palm down hand: medium-dark skin tone,People & Body,hand-fingers-open,palm-down,,
🫳🏿,palm down hand: dark skin tone,People & Body,hand-fingers-open,palm-down,,
🫴,palm up hand,People & Body,hand-fingers-open,palm-up,,
🫴🏻,palm up hand: light skin tone,People & Body,hand-fingers-open,palm-up,,
🫴🏼,palm up hand: medium-light skin tone,People & Body,hand-fingers-open,palm-up,,
🫴🏽,palm up hand: medium skin tone,People & Body,hand-fingers-open,palm-up,,
🫴🏾,palm up hand: medium-dark skin tone,People & Body,hand-fingers-open,palm-up,,
🫴🏿,palm up hand: dark skin tone,People & Body,hand-fingers-open,palm-up,,
🫷,leftwards pushing hand,People & Body,hand-fingers-open,push-left,,
🫷🏻,leftwards pushing hand: light skin tone,People & Body,hand-fingers-open,push-left,,
🫷🏼,leftwards pushing hand: medium-light skin tone,People & Body,hand-fingers-open,push-left,,
🫷🏽,leftwards pushing hand: medium skin tone,People & Body,hand-fingers-open,push-left,,
🫷🏾,leftwards pushing hand: medium-dark skin tone,People & Body,hand-fingers-open,push-left,,
🫷🏿,leftwards pushing hand: dark skin tone,People & Body,hand-fingers-open,push-left,,
🫸,rightwards pushing hand,People & Body,hand-fingers-open,push-right,,
🫸🏻,rightwards pushing hand: light skin tone,People & Body,hand-fingers-open,push-right,,
🫸🏼,rightwards pushing hand: medium-light skin tone,People & Body,hand-fingers-open,push-right,,
🫸🏽,rightwards pushing hand: medium skin tone,People & Body,hand-fingers-open,push-right,,
🫸🏾,rightwards pushing hand: medium-dark skin tone,People & Body,hand-fingers-open,push-right,,
🫸🏿,rightwards pushing hand: dark skin tone,People & Body,hand-fingers-open,push-right,,
👌,OK hand,People & Body,hand-fingers-partial,ok-sign,,
👌🏻,OK hand: light skin tone,People & Body,hand-fingers-partial,ok-sign,,
👌🏼,OK hand: medium-light skin tone,People & Body,hand-fingers-partial,ok-sign,,
👌🏽,OK hand: medium skin tone,People & Body,hand-fingers-partial,ok-sign,,
👌🏾,OK hand: medium-dark skin tone,People & Body,hand-fingers-partial,ok-sign,,
👌🏿,OK hand: dark skin tone,People & Body,hand-fingers-partial,ok-sign,,
🤌,pinched fingers,People & Body,hand-fingers-partial,pinched-fingers,,
🤌🏻,pinched fingers: light skin tone,People & Body,hand-fingers-partial,pinched-fingers,,
🤌🏼,pinched fingers: medium-light skin tone,People & Body,hand-fingers-partial,pinched-fingers,,
🤌🏽,pinched fingers: medium skin tone,People & Body,hand-fingers-partial,pinched-fingers,,
🤌🏾,pinched fingers: medium-dark skin tone,People & Body,hand-fingers-partial,pinched-fingers,,
