lemma,status,emoji,literal,clarity,source,notes
seem,metaphor,🥸,disguise,uduzu,metaphorical,
open,metaphor,🔓,unlocked,unole,metaphorical,
again,metaphor,♊,gemini,egumu,metaphorical,
kind,metaphor,🫶,care,agera,metaphorical,
safe,metaphor,🚏,bus-stop,ubozuzo,metaphorical,
hear,metaphor,🇵🇪,peru,ebure,metaphorical,
every,function,,,,denylist,
during,function,,,,denylist,
always,function,,,,denylist,
large,metaphor,🐋,whale,aweha,metaphorical,
set,metaphor,📐,set-square,ezuda,metaphorical,
small,metaphor,✝️,christian-cross,uguha,metaphorical,
follow,metaphor,🚷,no-pedestrian,onebe,metaphorical,
wait,metaphor,🛗,elevator,eleva,metaphorical,
run,metaphor,🌼,blossom,obolo,metaphorical,
under,function,,,,denylist,
few,function,,,,denylist,
morning,metaphor,🚕,taxi,aduza,metaphorical,
hand,literal,✋,hand,aha,exact,
government,metaphor,🥖,baguette,abuge,metaphorical,
move,metaphor,🇭🇷,croatia,ogaru,metaphorical,
money,metaphor,🪗,accordion,agogu,metaphorical,
fact,metaphor,📑,bookmark-tab,oboga,metaphorical,
however,function,,,,denylist,
map,metaphor,🔻,down-triangle,oduwa,metaphorical,
name,metaphor,🌰,chestnut,eguhe,metaphorical,
read,metaphor,🫧,bubbles,ubebube,metaphorical,
friend,metaphor,⛲,fountain,ovuna,metaphorical,
without,function,,,,denylist,
information,literal,ℹ️,information,unova,exact,
order,metaphor,📋,clipboard,ugola,metaphorical,
word,metaphor,🍋,lemon,elome,metaphorical,
buy,metaphor,🧿,nazar,anaza,metaphorical,
spend,literal,💸,spend,ezebene,exact,
service,metaphor,🛎️,bellhop,ebole,metaphorical,
against,function,,,,denylist,
believe,metaphor,🍋‍🟩,lime,ulemu,metaphorical,
two,metaphor,🥞,pancake,abane,metaphorical,
though,function,,,,denylist,
yes,function,,,,denylist,
love,literal,🥰,love,ole,exact,
increase,metaphor,🥓,bacon,aboga,metaphorical,
plan,metaphor,♿,accessible,agegu,metaphorical,
result,metaphor,🫟,splatter,azebale,metaphorical,
travel,metaphor,🦒,giraffe,ugare,metaphorical,
solution,metaphor,✖️,multiply,umulo,metaphorical,
happen,metaphor,🏀,basketball,abezaga,metaphorical,
young,metaphor,🍗,chicken-leg,ugehe,metaphorical,
computer,metaphor,🇳🇿,new-zealand,enewa,metaphorical,
leader,metaphor,🦤,dodo,odododo,metaphorical,
thank,metaphor,🧜‍♂️,merman,emare,metaphorical,
space,metaphor,🇲🇾,malaysia,amalo,metaphorical,
student,literal,🧑‍🎓,student,uzedu,exact,
happy,metaphor,😊,smile,uze,metaphorical,
price,metaphor,💰,money-bag,omeno,metaphorical,
less,metaphor,🧆,falafel,ava,metaphorical,
comfortable,metaphor,🕋,kaaba,agaba,metaphorical,
until,function,,,,denylist,
form,metaphor,📄,page,abegabe,metaphorical,
car,literal,🚗,car,agaraga,exact,
score,metaphor,🥑,avocado,avoga,metaphorical,
person,literal,🧑,person,ebo,exact,
experience,metaphor,🧉,mate,ameda,metaphorical,
once,function,,,,denylist,
identify,metaphor,🪪,id-card,udagu,metaphorical,
enough,function,,,,denylist,
bad,metaphor,♀️,female,evame,metaphorical,
city,metaphor,👳,turban,udaru,metaphorical,
night,literal,🌃,night,unugu,exact,
strong,metaphor,🦬,bison,ubozu,metaphorical,
whether,function,,,,denylist,
paper,metaphor,🎟️,admission-tickets,adumu,metaphorical,
quite,function,,,,denylist,
although,function,,,,denylist,
sure,metaphor,📠,fax,avaza,metaphorical,
note,metaphor,👼,angel,anega,metaphorical,
calculate,metaphor,🥊,boxing,obuzo,metaphorical,
cake,metaphor,🎂,birthday-cake,ubaro,metaphorical,
low,metaphor,🔈,speaker-low,ezabego,metaphorical,
within,function,,,,denylist,
often,function,,,,denylist,
train,literal,🚆,train,adura,exact,
maybe,function,,,,denylist,
true,metaphor,🙂‍↕️,yes,oze,metaphorical,
rather,function,,,,denylist,
parent,metaphor,🫔,tamale,adame,metaphorical,
hard,metaphor,🍝,spaghetti,azebu,metaphorical,
party,literal,🥳,party,abo,exact,
already,function,,,,denylist,
worry,metaphor,😟,worried,owu,metaphorical,
tool,metaphor,🧰,toolbox,odolo,metaphorical,
fail,metaphor,🇦🇱,albania,alabu,metaphorical,
story,metaphor,↘️,down-right,oduwo,metaphorical,
almost,function,,,,denylist,
fast,metaphor,⏩,fast-forward,avoza,metaphorical,
stand,metaphor,🧍,standing,azuda,metaphorical,
whole,metaphor,🦀,crab,agara,metaphorical,
yet,function,,,,denylist,
care,literal,🫶,care,agera,exact,
anything,function,,,,denylist,
connect,metaphor,🦡,badger,abeda,metaphorical,
water,metaphor,🪐,saturn,azudaru,metaphorical,
send,metaphor,📤,outbox,odubo,metaphorical,
watch,literal,⌚,watch,awa,exact,
wall,metaphor,♌,leo,elole,metaphorical,
past,metaphor,🕰️,mantel-clock,ameno,metaphorical,
power,metaphor,🩰,ballet-shoe,abelo,metaphorical,
test,metaphor,🏪,convenience-store,ogenu,metaphorical,
visit,metaphor,⛩️,shinto-shrine,uzohu,metaphorical,
target,metaphor,🐚,shell,ezehe,metaphorical,
nothing,function,,,,denylist,
return,metaphor,🧑‍🚒,firefighter,uve,metaphorical,
lady,metaphor,🇵🇼,palau,abalu,metaphorical,
law,metaphor,🍾,champagne,agahe,metaphorical,
value,metaphor,🍞,bread,ebareda,metaphorical,
office,literal,🏢,office,ovuvego,exact,
record,literal,⏺️,record,eroge,exact,
stay,metaphor,🍯,honey,ohenoho,metaphorical,
stop,literal,🛑,stop,ozodo,exact,
several,function,,,,denylist,
traffic,metaphor,🚦,traffic-light,aduru,metaphorical,
answer,metaphor,💬,speech,ezebege,metaphorical,
sit,metaphor,🛌,in-bed,une,metaphorical,
lesson,metaphor,🏫,school,ozogo,metaphorical,
half,metaphor,🥧,pie,ubebu,metaphorical,
moment,metaphor,🍐,pear,ebarebare,metaphorical,
food,metaphor,🥶,cold,ogo,metaphorical,
break,metaphor,🍒,cherry,egohe,metaphorical,
clear,metaphor,🔆,bright,uburuguhudu,metaphorical,
future,metaphor,🪯,khanda,agaha,metaphorical,
either,function,,,,denylist,
per,function,,,,denylist,
harbor,metaphor,🐧,penguin,ebunu,metaphorical,
top,metaphor,👒,womans-hat,owamano,metaphorical,
among,function,,,,denylist,
art,metaphor,🇲🇼,malawi,amalu,metaphorical,
join,metaphor,🟤,brown,oborowo,metaphorical,
across,function,,,,denylist,
drive,metaphor,🚗,car,agaraga,metaphorical,
along,function,,,,denylist,
type,metaphor,🥘,paella,abela,metaphorical,
loud,metaphor,🦇,bat,abadaba,metaphorical,
eye,literal,👁️,eye,ejo,exact,
music,metaphor,🍮,custard,ugazu,metaphorical,
game,metaphor,🎮,video-game,uvedo,metaphorical,
vote,metaphor,♈,aries,aruzera,metaphorical,
free,metaphor,🧄,garlic,agura,metaphorical,
sale,metaphor,🧑‍🍼,feeding-baby,eve,metaphorical,
someone,function,,,,denylist,
toward,function,,,,denylist,
easy,metaphor,👲,skullcap,uza,metaphorical,
black,literal,⚫,black,abalaga,exact,
perhaps,function,,,,denylist,
pass,metaphor,🐔,chicken,uge,metaphorical,
sell,metaphor,👙,bikini,ubugunu,metaphorical,
everything,function,,,,denylist,
protect,metaphor,☦️,orthodox-cross,orodo,metaphorical,
human,metaphor,🐿️,chipmunk,uguhubu,metaphorical,
worker,metaphor,🧑‍💼,office-worker,ovuve,metaphorical,
film,literal,🎞️,film,uvulu,exact,
war,metaphor,🤶,mrs-claus,amu,metaphorical,
account,metaphor,📒,ledger,elede,metaphorical,
above,function,,,,denylist,
sometimes,function,,,,denylist,
temperature,metaphor,🐎,horse,ohero,metaphorical,
guy,metaphor,💌,love-letter,oleve,metaphorical,
dinner,metaphor,🍽️,plate,abelade,metaphorical,
forward,literal,↪️,forward,ovaro,exact,
death,metaphor,🗜️,clamp,agalama,metaphorical,
bear,literal,🐻,bear,ebareba,exact,
cut,metaphor,🏵️,rosette,ore,metaphorical,
himself,function,,,,denylist,
particular,metaphor,📌,pushpin,ubuzuhu,metaphorical,
girl,literal,👧,girl,ugurulu,exact,
else,function,,,,denylist,
perform,metaphor,🥥,coconut,ogogu,metaphorical,
please,function,,,,denylist,
health,metaphor,⚕️,medical,emuda,metaphorical,
phone,literal,📱,phone,obeho,exact,
themselves,function,,,,denylist,
draw,metaphor,🗂️,index-divider,unedu,metaphorical,
white,literal,⚪,white,uwehu,exact,
machine,metaphor,🤖,robot,oro,metaphorical,
volunteer,metaphor,📯,postal-horn,obazo,metaphorical,
store,metaphor,🏬,department-store,edabe,metaphorical,
ahead,metaphor,🐹,hamster,ahe,metaphorical,
door,literal,🚪,door,odorodo,exact,
outside,function,,,,denylist,
behind,function,,,,denylist,
teacher,literal,🧑‍🏫,teacher,edage,exact,
payment,metaphor,🫐,blueberry,ubele,metaphorical,
sign,metaphor,🪧,placard,abala,metaphorical,
picture,metaphor,🩲,briefs,uberuve,metaphorical,
boy,literal,👦,boy,obobo,exact,
couple,literal,💑,couple,ogube,exact,
wide,metaphor,🗾,japan-map,ajaba,metaphorical,
list,metaphor,🔖,bookmark,obogamo,metaphorical,
therefore,function,,,,denylist,
wear,metaphor,🎽,running-shirt,urunu,metaphorical,
rest,metaphor,🛏️,bed,ebedebe,metaphorical,
industry,metaphor,🏒,hockey,ohego,metaphorical,
itself,function,,,,denylist,
teach,metaphor,🧑‍🏫,teacher,edage,metaphorical,
field,metaphor,🏑,field-hockey,uvelo,metaphorical,
air,metaphor,🌬️,wind,uwunudu,metaphorical,
address,metaphor,🏳️‍⚧️,transgender-flag,aderena,metaphorical,
announce,metaphor,🇹🇩,chad,agahada,metaphorical,
limit,metaphor,🛑,stop,ozodo,metaphorical,
wrong,metaphor,🎳,bowling,obuwo,metaphorical,
foot,literal,🦶,foot,ovodo,exact,
upon,function,,,,denylist,
check,literal,✅,check,egehege,exact,
lie,literal,🤥,lie,ule,exact,
pick,literal,⛏️,pick,ubugugu,exact,
animal,metaphor,🇪🇨,ecuador,egudaro,metaphorical,
exist,metaphor,✨,sparkles,azebare,metaphorical,
fight,literal,🫯,fight,uvu,exact,
sport,metaphor,⚽,soccer,ozego,metaphorical,
apply,metaphor,📝,memo,emome,metaphorical,
fire,literal,🔥,fire,uveruve,exact,
police,literal,👮,police,obule,exact,
laugh,literal,😂,laugh,alu,exact,
heart,literal,❤️,heart,ehareda,exact,
bank,literal,🏦,bank,abanaga,exact,
cell,metaphor,🫡,salute,azule,metaphorical,
surprise,literal,😮,surprise,uzure,exact,
beautiful,metaphor,🦦,otter,odedo,metaphorical,
pause,literal,⏸️,pause,abuze,exact,
everyone,function,,,,denylist,
page,literal,📄,page,abegabe,exact,
drink,metaphor,🍹,tropical-drink,odura,metaphorical,
nature,metaphor,🀄,mahjong,amoha,metaphorical,
key,literal,🔑,key,egoge,exact,
inside,function,,,,denylist,
myself,function,,,,denylist,
plant,metaphor,🪴,potted-plant,obeda,metaphorical,
whatever,function,,,,denylist,
bridge,metaphor,😇,halo,aho,metaphorical,
catch,metaphor,🎣,fishing,uvuzuhunu,metaphorical,
son,metaphor,👦,boy,obobo,metaphorical,
medium,metaphor,🔉,speaker-medium,ezabege,metaphorical,
bed,literal,🛏️,bed,ebedebe,exact,
indeed,function,,,,denylist,
station,literal,🚉,station,azudo,exact,
success,metaphor,🧁,cupcake,ugabe,metaphorical,
window,literal,🪟,window,uwonu,exact,
tree,literal,🌳,tree,ederede,exact,
debate,metaphor,🗣️,speaking-head,ezabu,metaphorical,
board,metaphor,⬛,black-square,abula,metaphorical,
celebrate,metaphor,🎉,party-popper,aboro,metaphorical,
church,literal,⛪,church,uguhuru,exact,
cent,metaphor,🪙,coin,oguno,metaphorical,
floor,metaphor,🇬🇪,georgia,egoru,metaphorical,
anyone,function,,,,denylist,
hotel,literal,🏨,hotel,ohedo,exact,
below,function,,,,denylist,
doctor,literal,🧑‍⚕️,doctor,odogo,exact,
sad,metaphor,🕌,mosque,omuzego,metaphorical,
link,literal,🔗,link,ulunugu,exact,
despite,function,,,,denylist,
marriage,metaphor,🇸🇪,sweden,ezewe,metaphorical,
science,metaphor,⚛️,atom,adoma,metaphorical,
hospital,literal,🏥,hospital,ohuza,exact,
interview,metaphor,🎖️,honor,ohono,metaphorical,
specific,metaphor,🦫,beaver,ebave,metaphorical,
fear,literal,😨,fear,eva,exact,
television,literal,📺,television,edelu,exact,
red,literal,🔴,red,erede,exact,
shall,function,,,,denylist,
bus,literal,🚌,bus,ubuzu,exact,
yourself,function,,,,denylist,
invest,metaphor,📈,chart-up,aguha,metaphorical,
beyond,function,,,,denylist,
sleep,literal,💤,sleep,ezele,exact,
fish,literal,🐟,fish,uvuzuhu,exact,
bar,metaphor,🇩🇴,dominican-republic,odumuna,metaphorical,
pain,metaphor,🦢,swan,azawa,metaphorical,
ocean,metaphor,🧧,red-envelope,ere,metaphorical,
except,function,,,,denylist,
clean,metaphor,🏉,rugby,urogu,metaphorical,
star,literal,⭐,star,azada,exact,
seat,literal,💺,seat,ezadeza,exact,
throw,metaphor,🪃,boomerang,obome,metaphorical,
task,metaphor,🗳️,ballot-box,abololado,metaphorical,
goal,literal,🥅,goal,ogalo,exact,
blue,literal,🔵,blue,ubelube,exact,
option,literal,🔘,option,obudono,exact,
refer,metaphor,📇,index-card,uneda,metaphorical,
cold,literal,🥶,cold,ogo,exact,
baby,literal,👶,baby,aboba,exact,
sing,metaphor,🧑‍🎤,singer,uzenu,metaphorical,
fly,literal,🪰,fly,ovolo,exact,
hot,literal,🥵,hot,oho,exact,
obvious,metaphor,👀,eyes,ezo,metaphorical,
unclear,metaphor,🌫️,fog,ovogovo,metaphorical,
separate,metaphor,⛓️‍💥,unlink,unulu,metaphorical,
anyway,function,,,,denylist,
speech,literal,💬,speech,ezebege,exact,
dog,literal,🐕,dog,odogodo,exact,
officer,metaphor,🥩,steak,ezade,metaphorical,
oil,metaphor,🪔,oil-lamp,olula,metaphorical,
dress,literal,👗,dress,ederezeze,exact,
hair,metaphor,💇,haircut,ahu,metaphorical,
male,literal,♂️,male,amela,exact,
dark,metaphor,🌃,night,unugu,metaphorical,
earn,metaphor,💵,dollar,odalo,metaphorical,
daughter,metaphor,👧,girl,ugurulu,metaphorical,
post,metaphor,🏤,post-office,obozu,metaphorical,
newspaper,literal,📰,newspaper,ena,exact,
everybody,function,,,,denylist,
mine,function,,,,denylist,
green,literal,🟢,green,egerene,exact,
maintain,metaphor,🥟,dumpling,udumu,metaphorical,
ring,literal,💍,ring,urunugu,exact,
clothes,metaphor,👚,womans-clothes,owamone,metaphorical,
dance,metaphor,🦍,gorilla,ogura,metaphorical,
female,literal,♀️,female,evame,exact,
rock,literal,🪨,rock,orogogo,exact,
nor,function,,,,denylist,
dollar,literal,💵,dollar,odalo,exact,
fix,metaphor,🧑‍🔧,mechanic,ema,metaphorical,
cross,literal,❌,cross,ogorozo,exact,
yeah,metaphor,✌️,victory,uvo,metaphorical,
somebody,function,,,,denylist,
pound,literal,💷,pound,obunodu,exact,
square,metaphor,⬜,white-square,uwehuda,metaphorical,
hello,metaphor,🛀,bath,abada,metaphorical,
smile,literal,😊,smile,uze,exact,
agent,metaphor,🐗,boar,oba,metaphorical,
judge,literal,🧑‍⚖️,judge,uje,exact,
herself,function,,,,denylist,
shoot,metaphor,🏹,bow-arrow,obawo,metaphorical,
unless,function,,,,denylist,
survey,metaphor,📊,bar-chart,abara,metaphorical,
stick,metaphor,⛑️,rescue-helmet,eruze,metaphorical,
wind,literal,🌬️,wind,uwunudu,exact,
exchange,metaphor,💱,currency-exchange,ugerore,metaphorical,
blood,metaphor,🦕,sauropod,azuro,metaphorical,
block,metaphor,®️,registered,eruge,metaphorical,
heat,metaphor,🔥,fire,uveruve,metaphorical,
mail,metaphor,✉️,envelope,enevo,metaphorical,
correct,literal,⭕,correct,ogero,exact,
medical,literal,⚕️,medical,emuda,exact,
beat,metaphor,🥁,drum,udurumu,metaphorical,
glass,metaphor,🏳️‍🌈,rainbow-flag,arunoba,metaphorical,
radio,literal,📻,radio,arudo,exact,
waste,metaphor,🛘,landslide,aluneda,metaphorical,
chair,literal,🪑,chair,aguharu,exact,
pair,metaphor,🇱🇷,liberia,ulebu,metaphorical,
video,metaphor,📹,video-camera,uvedoga,metaphorical,
weather,metaphor,🌦️,sun-rain,uzanu,metaphorical,
gather,metaphor,🧺,basket,abezage,metaphorical,
flat,metaphor,🥿,flat-shoe,avole,metaphorical,
farm,metaphor,🐞,ladybug,alo,metaphorical,
hang,metaphor,🪝,hook,ohogo,metaphorical,
ship,literal,🚢,ship,uzuhubu,exact,
attitude,metaphor,😏,smirk,uzumu,metaphorical,
leg,literal,🦵,leg,ele,exact,
print,metaphor,🛖,hut,uhudu,metaphorical,
nobody,function,,,,denylist,
examine,metaphor,🛢️,oil-drum,oludu,metaphorical,
user,metaphor,🧑‍🦽,wheelchair-user,ewe,metaphorical,
slow,metaphor,🐌,snail,azunalu,metaphorical,
suit,metaphor,🤵,tuxedo,udezo,metaphorical,
peace,literal,☮️,peace,ebagebe,exact,
dry,metaphor,🏜️,desert,edeze,metaphorical,
horse,literal,🐎,horse,ohero,exact,
taxi,literal,🚕,taxi,aduza,exact,
cool,literal,😎,cool,ogolo,exact,
wave,literal,👋,wave,awe,exact,
labor,metaphor,👷,construction-worker,ogunu,metaphorical,
surface,metaphor,🧽,sponge,ozebo,metaphorical,
edge,metaphor,🪿,goose,ogoze,metaphorical,
camp,metaphor,⛺,tent,edene,metaphorical,
lift,metaphor,🏋️,weightlifting,ewu,metaphorical,
email,literal,📧,email,emalu,exact,
opposite,metaphor,↔️,left-right,eluve,metaphorical,
roll,metaphor,🇵🇫,french-polynesia,evo,metaphorical,
photo,metaphor,🔵,blue,ubelube,metaphorical,
artist,literal,🧑‍🎨,artist,aruda,exact,
fuel,metaphor,⛽,gas-pump,aguza,metaphorical,
defend,metaphor,😮‍💨,sigh,uzugu,metaphorical,
cook,literal,🧑‍🍳,cook,ogogogo,exact,
nuclear,metaphor,☢️,radioactive,arudoga,metaphorical,
scale,literal,⚖️,scale,azegale,exact,
cry,literal,😭,cry,ogoro,exact,
introduction,metaphor,🔰,beginner,ebuge,metaphorical,
refuse,metaphor,😑,blank,aba,metaphorical,
transport,metaphor,🚚,truck,uduru,metaphorical,
island,literal,🏝️,island,uzalu,exact,
neither,function,,,,denylist,
football,literal,🏈,football,ovoda,exact,
left,literal,⬅️,left,elevede,exact,
smoke,metaphor,🚬,cigarette,ugage,metaphorical,
rain,literal,🌧️,rain,aruna,exact,
brain,literal,🧠,brain,abura,exact,
funny,metaphor,🫠,melt,eme,metaphorical,
mountain,literal,⛰️,mountain,omunadu,exact,
ticket,literal,🎫,ticket,udeguge,exact,
bag,metaphor,👜,handbag,ahanadaba,metaphorical,
repeat,literal,🔁,repeat,ereba,exact,
equal,metaphor,🟰,equals,egula,metaphorical,
plus,function,,,,denylist,
owner,metaphor,🏸,badminton,abudo,metaphorical,
duty,metaphor,🏅,medal,emadela,metaphorical,
bird,literal,🐦,bird,uburu,exact,
secret,literal,🤐,secret,eze,exact,
union,metaphor,🇪🇺,european-union,erubo,metaphorical,
beach,literal,🏖️,beach,ebageha,exact,
flower,literal,💮,flower,ove,exact,
boat,literal,🚤,boat,obadoba,exact,
fan,metaphor,🪭,hand-fan,ahanada,metaphorical,
kitchen,metaphor,🧑‍🍳,cook,ogogogo,metaphorical,
twice,function,,,,denylist,
engineer,metaphor,🧑‍💻,technologist,edo,metaphorical,
silence,metaphor,🔇,mute,umedu,metaphorical,
nurse,metaphor,🧑‍⚕️,doctor,odogo,metaphorical,
divide,literal,➗,divide,uduve,exact,
package,literal,📦,package,abage,exact,
jump,metaphor,🇲🇶,martinique,amuru,metaphorical,
weapon,metaphor,🐽,pig-nose,uboge,metaphorical,
winter,metaphor,🇲🇵,northern-mariana-islands,onera,metaphorical,
spirit,metaphor,🌽,corn,ogorono,metaphorical,
pool,literal,🎱,pool,obolobo,exact,
strange,metaphor,🤐,secret,eze,metaphorical,
afraid,metaphor,😨,fear,eva,metaphorical,
cancer,literal,♋,cancer,agenagera,exact,
sun,literal,☀️,sun,uzunu,exact,
blow,metaphor,😘,blow-kiss,obu,metaphorical,
tape,metaphor,📼,videocassette,uvedogaze,metaphorical,
whereas,function,,,,denylist,
monitor,metaphor,🌵,cactus,agu,metaphorical,
hate,metaphor,💢,anger,ane,metaphorical,
egg,literal,🥚,egg,egege,exact,
shock,metaphor,‼️,exclamation-double,ezaga,metaphorical,
wine,literal,🍷,wine,uwenu,exact,
camera,literal,📷,camera,agemara,exact,
swim,metaphor,🪊,trombone,odore,metaphorical,
theater,literal,🎭,theater,edahe,exact,
bike,metaphor,🚲,bicycle,ubogegu,metaphorical,
coffee,literal,☕,coffee,ogeve,exact,
construction,literal,🚧,construction,ogunuzodo,exact,
dear,metaphor,🥰,love,ole,metaphorical,
moreover,function,,,,denylist,
onto,function,,,,denylist,
forest,metaphor,🌳,tree,ederede,metaphorical,
scientist,literal,🧑‍🔬,scientist,uzegu,exact,
bind,metaphor,⛓️,chains,aguhanu,metaphorical,
belong,metaphor,🔑,key,egoge,metaphorical,
taste,metaphor,👅,tongue,odune,metaphorical,
tonight,metaphor,🥯,bagel,abega,metaphorical,
fashion,metaphor,👗,dress,ederezeze,metaphorical,
bomb,literal,💣,bomb,obomobo,exact,
army,metaphor,🪖,helmet,ehele,metaphorical,
council,metaphor,🏛️,classical-building,agula,metaphorical,
editor,metaphor,🖊️,pen,ebene,metaphorical,
sight,metaphor,👁️,eye,ejo,metaphorical,
generate,metaphor,⚡,lightning,ulugu,metaphorical,
delivery,metaphor,📦,package,abage,metaphorical,
anybody,function,,,,denylist,
quote,metaphor,🦅,eagle,ega,metaphorical,
climb,metaphor,🧗,climbing,ugulu,metaphorical,
violence,metaphor,💥,boom,obomo,metaphorical,
minister,metaphor,👔,necktie,enuge,metaphorical,
mouth,literal,👄,mouth,omudo,exact,
noise,metaphor,🔊,speaker-high,ezabegu,metaphorical,
manner,metaphor,🙇,bow,obowo,metaphorical,
gun,metaphor,🇨🇾,cyprus,oguboru,metaphorical,
occasion,metaphor,🎊,confetti-ball,ogenuva,metaphorical,
familiar,metaphor,👋,wave,awe,metaphorical,
ignore,metaphor,🙈,see-no-evil,ezeno,metaphorical,
destroy,metaphor,🪰,fly,ovolo,metaphorical,
affair,metaphor,💍,ring,urunugu,metaphorical,
civil,metaphor,🐬,dolphin,odulo,metaphorical,
locate,metaphor,🐟,fish,uvuzuhu,metaphorical,
citizen,metaphor,👤,silhouette,uzolu,metaphorical,
gold,literal,🥇,gold,ogolodo,exact,
domestic,metaphor,🏠,house,ohuze,metaphorical,
load,metaphor,🦯,cane,agenage,metaphorical,
troop,metaphor,💂,guard,ugaru,metaphorical,
remind,metaphor,🔔,bell,ebelele,metaphorical,
arrangement,metaphor,💐,bouquet,obugu,metaphorical,
prison,metaphor,🧱,brick,uburugu,metaphorical,
switch,metaphor,🔌,plug,ubulugu,metaphorical,
acquire,metaphor,🛍️,shopping-bag,ozuha,metaphorical,
corporate,metaphor,🏢,office,ovuvego,metaphorical,
wood,literal,🪵,wood,owodo,exact,
participate,metaphor,🐦,bird,uburu,metaphorical,
tough,metaphor,💪,bicep,ube,metaphorical,
tear,metaphor,🥲,tear-smile,eda,metaphorical,
representative,metaphor,🏗️,construction-site,ogunuzo,metaphorical,
capacity,metaphor,🔋,battery,abedo,metaphorical,
border,metaphor,🪠,plunger,ubelu,metaphorical,
shake,metaphor,🤝,handshake,ahane,metaphorical,
assess,metaphor,🧮,abacus,abagu,metaphorical,
shoe,metaphor,👞,mans-shoe,amone,metaphorical,
ought,function,,,,denylist,
ad,metaphor,📣,megaphone,emago,metaphorical,
fee,metaphor,🧾,receipt,eregu,metaphorical,
hall,metaphor,🏟️,stadium,azudu,metaphorical,
regulation,metaphor,🚫,prohibited,oburu,metaphorical,
escape,metaphor,🏃,running,uru,metaphorical,
studio,metaphor,🎙️,studio-mic,uzudo,metaphorical,
relax,metaphor,🏖️,beach,ebageha,metaphorical,
tourist,metaphor,📷,camera,agemara,metaphorical,
afford,metaphor,💳,credit-card,egura,metaphorical,
suspect,metaphor,🕵️,detective,ede,metaphorical,
cup,metaphor,🍵,tea,edadeda,metaphorical,
description,metaphor,🇬🇸,south-georgia-south-sandwich-islands,ozude,metaphorical,
confidence,metaphor,🩺,stethoscope,ezodo,metaphorical,
complain,metaphor,😡,rage,are,metaphorical,
perspective,metaphor,🔭,telescope,edelo,metaphorical,
error,metaphor,❌,cross,ogorozo,metaphorical,
register,metaphor,🏕️,camping,aguma,metaphorical,
asset,metaphor,💎,gemstone,egome,metaphorical,
signal,literal,📶,signal,uzagu,exact,
finger,metaphor,🖕,middle-finger,ume,metaphorical,
bright,literal,🔆,bright,uburuguhudu,exact,
frame,metaphor,🖼️,framed-picture,averu,metaphorical,
hire,metaphor,💼,briefcase,ubera,metaphorical,
hole,literal,🕳️,hole,ohe,exact,
chain,metaphor,🔗,link,ulunugu,metaphorical,
literature,metaphor,📖,book,obogo,metaphorical,
victim,metaphor,🩹,bandage,abaneda,metaphorical,
threaten,metaphor,⚠️,warning,awura,metaphorical,
division,metaphor,➗,divide,uduve,metaphorical,
secure,metaphor,🔒,locked,olego,metaphorical,
amaze,metaphor,🤯,mind-blown,umo,metaphorical,
device,metaphor,📱,phone,obeho,metaphorical,
birth,metaphor,🇧🇬,bulgaria,ubalu,metaphorical,
label,literal,🏷️,label,aleba,exact,
root,metaphor,🫜,root-veg,orode,metaphorical,
factory,literal,🏭,factory,avogo,exact,
channel,metaphor,📺,television,edelu,metaphorical,
investigate,metaphor,🔍,magnify,amugo,metaphorical,
rank,metaphor,🕎,menorah,emona,metaphorical,
typical,metaphor,🪁,kite,ugedu,metaphorical,
west,metaphor,🌇,sunset,uzenuze,metaphorical,
resident,metaphor,⛪,church,uguhuru,metaphorical,
provision,metaphor,💄,lipstick,ulubu,metaphorical,
concentrate,metaphor,🧠,brain,abura,metaphorical,
export,metaphor,🚢,ship,uzuhubu,metaphorical,
consist,metaphor,🧩,puzzle-piece,ubezu,metaphorical,
graduate,metaphor,🎓,graduation-cap,aguradu,metaphorical,
brand,metaphor,🏷️,label,aleba,metaphorical,
moral,metaphor,⚖️,scale,azegale,metaphorical,
insist,metaphor,✊,fist,uvuzu,metaphorical,
combination,metaphor,🥝,kiwi,uguwu,metaphorical,
abuse,metaphor,💔,broken-heart,obe,metaphorical,
ice,literal,🧊,ice,ugegu,exact,
session,metaphor,📅,calendar,agelana,metaphorical,
nevertheless,function,,,,denylist,
wed,metaphor,💒,wedding,ewude,metaphorical,
shot,metaphor,🇬🇼,guinea-bissau,uguneba,metaphorical,
piano,metaphor,🎹,musical-keyboard,umuza,metaphorical,
loan,metaphor,⤵️,curve-down,ugero,metaphorical,
atmosphere,metaphor,🌁,foggy,ovogo,metaphorical,
farmer,literal,🧑‍🌾,farmer,avera,exact,
characteristic,metaphor,🫆,fingerprint,uvenu,metaphorical,
rely,metaphor,🥒,cucumber,uguge,metaphorical,
identity,metaphor,📛,name-tag,anema,metaphorical,
permit,metaphor,🎫,ticket,udeguge,metaphorical,
wild,metaphor,🎺,trumpet,uderume,metaphorical,
empty,metaphor,🇸🇬,singapore,uzano,metaphorical,
instrument,metaphor,🎸,guitar,uguda,metaphorical,
tea,literal,🍵,tea,edadeda,exact,
soft,metaphor,🪶,feather,evade,metaphorical,
row,metaphor,🚣,rowing,oru,metaphorical,
youth,metaphor,🧒,child,uguhu,metaphorical,
breathe,metaphor,🫁,lungs,ulunu,metaphorical,
bottle,metaphor,🍼,baby-bottle,abobo,metaphorical,
ourselves,function,,,,denylist,
sheet,metaphor,🎼,sheet-music,ezehu,metaphorical,
