emoji,name,concept,concept_source,iconic,emojese,codepoints,status,group,subgroup
🤸,person cartwheeling,,,,,1F938,fully-qualified,People & Body,person-sport
🤸🏻,person cartwheeling: light skin tone,,,,,1F938 1F3FB,fully-qualified,People & Body,person-sport
🤸🏼,person cartwheeling: medium-light skin tone,,,,,1F938 1F3FC,fully-qualified,People & Body,person-sport
🤸🏽,person cartwheeling: medium skin tone,,,,,1F938 1F3FD,fully-qualified,People & Body,person-sport
🤸🏾,person cartwheeling: medium-dark skin tone,,,,,1F938 1F3FE,fully-qualified,People & Body,person-sport
🤸🏿,person cartwheeling: dark skin tone,,,,,1F938 1F3FF,fully-qualified,People & Body,person-sport
🤸‍♂️,man cartwheeling,,,,,1F938 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤸🏻‍♂️,man cartwheeling: light skin tone,,,,,1F938 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤸🏼‍♂️,man cartwheeling: medium-light skin tone,,,,,1F938 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤸🏽‍♂️,man cartwheeling: medium skin tone,,,,,1F938 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤸🏾‍♂️,man cartwheeling: medium-dark skin tone,,,,,1F938 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤸🏿‍♂️,man cartwheeling: dark skin tone,,,,,1F938 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤸‍♀️,woman cartwheeling,,,,,1F938 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤸🏻‍♀️,woman cartwheeling: light skin tone,,,,,1F938 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤸🏼‍♀️,woman cartwheeling: medium-light skin tone,,,,,1F938 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤸🏽‍♀️,woman cartwheeling: medium skin tone,,,,,1F938 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤸🏾‍♀️,woman cartwheeling: medium-dark skin tone,,,,,1F938 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤸🏿‍♀️,woman cartwheeling: dark skin tone,,,,,1F938 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤼,people wrestling,wrestle,emojese,wrestling,wrestle,1F93C,fully-qualified,People & Body,person-sport
🤼🏻,people wrestling: light skin tone,,,,,1F93C 1F3FB,fully-qualified,People & Body,person-sport
🤼🏼,people wrestling: medium-light skin tone,,,,,1F93C 1F3FC,fully-qualified,People & Body,person-sport
🤼🏽,people wrestling: medium skin tone,,,,,1F93C 1F3FD,fully-qualified,People & Body,person-sport
🤼🏾,people wrestling: medium-dark skin tone,,,,,1F93C 1F3FE,fully-qualified,People & Body,person-sport
🤼🏿,people wrestling: dark skin tone,,,,,1F93C 1F3FF,fully-qualified,People & Body,person-sport
🤼‍♂️,men wrestling,,,,,1F93C 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤼🏻‍♂️,men wrestling: light skin tone,,,,,1F93C 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤼🏼‍♂️,men wrestling: medium-light skin tone,,,,,1F93C 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤼🏽‍♂️,men wrestling: medium skin tone,,,,,1F93C 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤼🏾‍♂️,men wrestling: medium-dark skin tone,,,,,1F93C 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤼🏿‍♂️,men wrestling: dark skin tone,,,,,1F93C 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤼‍♀️,women wrestling,,,,,1F93C 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤼🏻‍♀️,women wrestling: light skin tone,,,,,1F93C 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤼🏼‍♀️,women wrestling: medium-light skin tone,,,,,1F93C 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤼🏽‍♀️,women wrestling: medium skin tone,,,,,1F93C 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤼🏾‍♀️,women wrestling: medium-dark skin tone,,,,,1F93C 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤼🏿‍♀️,women wrestling: dark skin tone,,,,,1F93C 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🧑🏻‍🫯‍🧑🏼,"people wrestling: light skin tone, medium-light skin tone",,,,,1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FC,fully-qualified,People & Body,person-sport
🧑🏻‍🫯‍🧑🏽,"people wrestling: light skin tone, medium skin tone",,,,,1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FD,fully-qualified,People & Body,person-sport
🧑🏻‍🫯‍🧑🏾,"people wrestling: light skin tone, medium-dark skin tone",,,,,1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FE,fully-qualified,People & Body,person-sport
🧑🏻‍🫯‍🧑🏿,"people wrestling: light skin tone, dark skin tone",,,,,1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FF,fully-qualified,People & Body,person-sport
🧑🏼‍🫯‍🧑🏻,"people wrestling: medium-light skin tone, light skin tone",,,,,1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FB,fully-qualified,People & Body,person-sport
🧑🏼‍🫯‍🧑🏽,"people wrestling: medium-light skin tone, medium skin tone",,,,,1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FD,fully-qualified,People & Body,person-sport
🧑🏼‍🫯‍🧑🏾,"people wrestling: medium-light skin tone, medium-dark skin tone",,,,,1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FE,fully-qualified,People & Body,person-sport
🧑🏼‍🫯‍🧑🏿,"people wrestling: medium-light skin tone, dark skin tone",,,,,1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FF,fully-qualified,People & Body,person-sport
🧑🏽‍🫯‍🧑🏻,"people wrestling: medium skin tone, light skin tone",,,,,1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FB,fully-qualified,People & Body,person-sport
🧑🏽‍🫯‍🧑🏼,"people wrestling: medium skin tone, medium-light skin tone",,,,,1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FC,fully-qualified,People & Body,person-sport
🧑🏽‍🫯‍🧑🏾,"people wrestling: medium skin tone, medium-dark skin tone",,,,,1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FE,fully-qualified,People & Body,person-sport
🧑🏽‍🫯‍🧑🏿,"people wrestling: medium skin tone, dark skin tone",,,,,1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FF,fully-qualified,People & Body,person-sport
🧑🏾‍🫯‍🧑🏻,"people wrestling: medium-dark skin tone, light skin tone",,,,,1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FB,fully-qualified,People & Body,person-sport
🧑🏾‍🫯‍🧑🏼,"people wrestling: medium-dark skin tone, medium-light skin tone",,,,,1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FC,fully-qualified,People & Body,person-sport
🧑🏾‍🫯‍🧑🏽,"people wrestling: medium-dark skin tone, medium skin tone",,,,,1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FD,fully-qualified,People & Body,person-sport
🧑🏾‍🫯‍🧑🏿,"people wrestling: medium-dark skin tone, dark skin tone",,,,,1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FF,fully-qualified,People & Body,person-sport
🧑🏿‍🫯‍🧑🏻,"people wrestling: dark skin tone, light skin tone",,,,,1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FB,fully-qualified,People & Body,person-sport
🧑🏿‍🫯‍🧑🏼,"people wrestling: dark skin tone, medium-light skin tone",,,,,1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FC,fully-qualified,People & Body,person-sport
🧑🏿‍🫯‍🧑🏽,"people wrestling: dark skin tone, medium skin tone",,,,,1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FD,fully-qualified,People & Body,person-sport
🧑🏿‍🫯‍🧑🏾,"people wrestling: dark skin tone, medium-dark skin tone",,,,,1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FE,fully-qualified,People & Body,person-sport
👨🏻‍🫯‍👨🏼,"men wrestling: light skin tone, medium-light skin tone",,,,,1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FC,fully-qualified,People & Body,person-sport
👨🏻‍🫯‍👨🏽,"men wrestling: light skin tone, medium skin tone",,,,,1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FD,fully-qualified,People & Body,person-sport
👨🏻‍🫯‍👨🏾,"men wrestling: light skin tone, medium-dark skin tone",,,,,1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FE,fully-qualified,People & Body,person-sport
👨🏻‍🫯‍👨🏿,"men wrestling: light skin tone, dark skin tone",,,,,1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FF,fully-qualified,People & Body,person-sport
👨🏼‍🫯‍👨🏻,"men wrestling: medium-light skin tone, light skin tone",,,,,1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FB,fully-qualified,People & Body,person-sport
👨🏼‍🫯‍👨🏽,"men wrestling: medium-light skin tone, medium skin tone",,,,,1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FD,fully-qualified,People & Body,person-sport
👨🏼‍🫯‍👨🏾,"men wrestling: medium-light skin tone, medium-dark skin tone",,,,,1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FE,fully-qualified,People & Body,person-sport
👨🏼‍🫯‍👨🏿,"men wrestling: medium-light skin tone, dark skin tone",,,,,1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FF,fully-qualified,People & Body,person-sport
👨🏽‍🫯‍👨🏻,"men wrestling: medium skin tone, light skin tone",,,,,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FB,fully-qualified,People & Body,person-sport
👨🏽‍🫯‍👨🏼,"men wrestling: medium skin tone, medium-light skin tone",,,,,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FC,fully-qualified,People & Body,person-sport
👨🏽‍🫯‍👨🏾,"men wrestling: medium skin tone, medium-dark skin tone",,,,,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FE,fully-qualified,People & Body,person-sport
👨🏽‍🫯‍👨🏿,"men wrestling: medium skin tone, dark skin tone",,,,,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FF,fully-qualified,People & Body,person-sport
👨🏾‍🫯‍👨🏻,"men wrestling: medium-dark skin tone, light skin tone",,,,,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FB,fully-qualified,People & Body,person-sport
👨🏾‍🫯‍👨🏼,"men wrestling: medium-dark skin tone, medium-light skin tone",,,,,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FC,fully-qualified,People & Body,person-sport
👨🏾‍🫯‍👨🏽,"men wrestling: medium-dark skin tone, medium skin tone",,,,,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FD,fully-qualified,People & Body,person-sport
👨🏾‍🫯‍👨🏿,"men wrestling: medium-dark skin tone, dark skin tone",,,,,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FF,fully-qualified,People & Body,person-sport
👨🏿‍🫯‍👨🏻,"men wrestling: dark skin tone, light skin tone",,,,,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FB,fully-qualified,People & Body,person-sport
👨🏿‍🫯‍👨🏼,"men wrestling: dark skin tone, medium-light skin tone",,,,,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FC,fully-qualified,People & Body,person-sport
👨🏿‍🫯‍👨🏽,"men wrestling: dark skin tone, medium skin tone",,,,,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FD,fully-qualified,People & Body,person-sport
👨🏿‍🫯‍👨🏾,"men wrestling: dark skin tone, medium-dark skin tone",,,,,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FE,fully-qualified,People & Body,person-sport
👩🏻‍🫯‍👩🏼,"women wrestling: light skin tone, medium-light skin tone",,,,,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FC,fully-qualified,People & Body,person-sport
👩🏻‍🫯‍👩🏽,"women wrestling: light skin tone, medium skin tone",,,,,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FD,fully-qualified,People & Body,person-sport
👩🏻‍🫯‍👩🏾,"women wrestling: light skin tone, medium-dark skin tone",,,,,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FE,fully-qualified,People & Body,person-sport
👩🏻‍🫯‍👩🏿,"women wrestling: light skin tone, dark skin tone",,,,,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FF,fully-qualified,People & Body,person-sport
👩🏼‍🫯‍👩🏻,"women wrestling: medium-light skin tone, light skin tone",,,,,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FB,fully-qualified,People & Body,person-sport
👩🏼‍🫯‍👩🏽,"women wrestling: medium-light skin tone, medium skin tone",,,,,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FD,fully-qualified,People & Body,person-sport
👩🏼‍🫯‍👩🏾,"women wrestling: medium-light skin tone, medium-dark skin tone",,,,,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FE,fully-qualified,People & Body,person-sport
👩🏼‍🫯‍👩🏿,"women wrestling: medium-light skin tone, dark skin tone",,,,,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FF,fully-qualified,People & Body,person-sport
👩🏽‍🫯‍👩🏻,"women wrestling: medium skin tone, light skin tone",,,,,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FB,fully-qualified,People & Body,person-sport
👩🏽‍🫯‍👩🏼,"women wrestling: medium skin tone, medium-light skin tone",,,,,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FC,fully-qualified,People & Body,person-sport
👩🏽‍🫯‍👩🏾,"women wrestling: medium skin tone, medium-dark skin tone",,,,,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FE,fully-qualified,People & Body,person-sport
👩🏽‍🫯‍👩🏿,"women wrestling: medium skin tone, dark skin tone",,,,,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FF,fully-qualified,People & Body,person-sport
👩🏾‍🫯‍👩🏻,"women wrestling: medium-dark skin tone, light skin tone",,,,,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FB,fully-qualified,People & Body,person-sport
👩🏾‍🫯‍👩🏼,"women wrestling: medium-dark skin tone, medium-light skin tone",,,,,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FC,fully-qualified,People & Body,person-sport
👩🏾‍🫯‍👩🏽,"women wrestling: medium-dark skin tone, medium skin tone",,,,,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FD,fully-qualified,People & Body,person-sport
👩🏾‍🫯‍👩🏿,"women wrestling: medium-dark skin tone, dark skin tone",,,,,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FF,fully-qualified,People & Body,person-sport
👩🏿‍🫯‍👩🏻,"women wrestling: dark skin tone, light skin tone",,,,,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FB,fully-qualified,People & Body,person-sport
👩🏿‍🫯‍👩🏼,"women wrestling: dark skin tone, medium-light skin tone",,,,,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FC,fully-qualified,People & Body,person-sport
👩🏿‍🫯‍👩🏽,"women wrestling: dark skin tone, medium skin tone",,,,,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FD,fully-qualified,People & Body,person-sport
👩🏿‍🫯‍👩🏾,"women wrestling: dark skin tone, medium-dark skin tone",,,,,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FE,fully-qualified,People & Body,person-sport
🤽,person playing water polo,,,,,1F93D,fully-qualified,People & Body,person-sport
🤽🏻,person playing water polo: light skin tone,,,,,1F93D 1F3FB,fully-qualified,People & Body,person-sport
🤽🏼,person playing water polo: medium-light skin tone,,,,,1F93D 1F3FC,fully-qualified,People & Body,person-sport
🤽🏽,person playing water polo: medium skin tone,,,,,1F93D 1F3FD,fully-qualified,People & Body,person-sport
🤽🏾,person playing water polo: medium-dark skin tone,,,,,1F93D 1F3FE,fully-qualified,People & Body,person-sport
🤽🏿,person playing water polo: dark skin tone,,,,,1F93D 1F3FF,fully-qualified,People & Body,person-sport
🤽‍♂️,man playing water polo,,,,,1F93D 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤽🏻‍♂️,man playing water polo: light skin tone,,,,,1F93D 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤽🏼‍♂️,man playing water polo: medium-light skin tone,,,,,1F93D 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤽🏽‍♂️,man playing water polo: medium skin tone,,,,,1F93D 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤽🏾‍♂️,man playing water polo: medium-dark skin tone,,,,,1F93D 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤽🏿‍♂️,man playing water polo: dark skin tone,,,,,1F93D 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤽‍♀️,woman playing water polo,,,,,1F93D 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤽🏻‍♀️,woman playing water polo: light skin tone,,,,,1F93D 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤽🏼‍♀️,woman playing water polo: medium-light skin tone,,,,,1F93D 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤽🏽‍♀️,woman playing water polo: medium skin tone,,,,,1F93D 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤽🏾‍♀️,woman playing water polo: medium-dark skin tone,,,,,1F93D 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤽🏿‍♀️,woman playing water polo: dark skin tone,,,,,1F93D 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤾,person playing handball,,,,,1F93E,fully-qualified,People & Body,person-sport
🤾🏻,person playing handball: light skin tone,,,,,1F93E 1F3FB,fully-qualified,People & Body,person-sport
🤾🏼,person playing handball: medium-light skin tone,,,,,1F93E 1F3FC,fully-qualified,People & Body,person-sport
🤾🏽,person playing handball: medium skin tone,,,,,1F93E 1F3FD,fully-qualified,People & Body,person-sport
🤾🏾,person playing handball: medium-dark skin tone,,,,,1F93E 1F3FE,fully-qualified,People & Body,person-sport
🤾🏿,person playing handball: dark skin tone,,,,,1F93E 1F3FF,fully-qualified,People & Body,person-sport
🤾‍♂️,man playing handball,,,,,1F93E 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤾🏻‍♂️,man playing handball: light skin tone,,,,,1F93E 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤾🏼‍♂️,man playing handball: medium-light skin tone,,,,,1F93E 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤾🏽‍♂️,man playing handball: medium skin tone,,,,,1F93E 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤾🏾‍♂️,man playing handball: medium-dark skin tone,,,,,1F93E 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤾🏿‍♂️,man playing handball: dark skin tone,,,,,1F93E 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤾‍♀️,woman playing handball,,,,,1F93E 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤾🏻‍♀️,woman playing handball: light skin tone,,,,,1F93E 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤾🏼‍♀️,woman playing handball: medium-light skin tone,,,,,1F93E 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤾🏽‍♀️,woman playing handball: medium skin tone,,,,,1F93E 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤾🏾‍♀️,woman playing handball: medium-dark skin tone,,,,,1F93E 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤾🏿‍♀️,woman playing handball: dark skin tone,,,,,1F93E 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤹,person juggling,juggle,emojese,,juggle,1F939,fully-qualified,People & Body,person-sport
🤹🏻,person juggling: light skin tone,,,,,1F939 1F3FB,fully-qualified,People & Body,person-sport
🤹🏼,person juggling: medium-light skin tone,,,,,1F939 1F3FC,fully-qualified,People & Body,person-sport
🤹🏽,person juggling: medium skin tone,,,,,1F939 1F3FD,fully-qualified,People & Body,person-sport
🤹🏾,person juggling: medium-dark skin tone,,,,,1F939 1F3FE,fully-qualified,People & Body,person-sport
🤹🏿,person juggling: dark skin tone,,,,,1F939 1F3FF,fully-qualified,People & Body,person-sport
🤹‍♂️,man juggling,,,,,1F939 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤹🏻‍♂️,man juggling: light skin tone,,,,,1F939 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤹🏼‍♂️,man juggling: medium-light skin tone,,,,,1F939 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤹🏽‍♂️,man juggling: medium skin tone,,,,,1F939 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤹🏾‍♂️,man juggling: medium-dark skin tone,,,,,1F939 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤹🏿‍♂️,man juggling: dark skin tone,,,,,1F939 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-sport
🤹‍♀️,woman juggling,,,,,1F939 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤹🏻‍♀️,woman juggling: light skin tone,,,,,1F939 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤹🏼‍♀️,woman juggling: medium-light skin tone,,,,,1F939 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤹🏽‍♀️,woman juggling: medium skin tone,,,,,1F939 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤹🏾‍♀️,woman juggling: medium-dark skin tone,,,,,1F939 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🤹🏿‍♀️,woman juggling: dark skin tone,,,,,1F939 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-sport
🧘,person in lotus position,,,,,1F9D8,fully-qualified,People & Body,person-resting
🧘🏻,person in lotus position: light skin tone,,,,,1F9D8 1F3FB,fully-qualified,People & Body,person-resting
🧘🏼,person in lotus position: medium-light skin tone,,,,,1F9D8 1F3FC,fully-qualified,People & Body,person-resting
🧘🏽,person in lotus position: medium skin tone,,,,,1F9D8 1F3FD,fully-qualified,People & Body,person-resting
🧘🏾,person in lotus position: medium-dark skin tone,,,,,1F9D8 1F3FE,fully-qualified,People & Body,person-resting
🧘🏿,person in lotus position: dark skin tone,,,,,1F9D8 1F3FF,fully-qualified,People & Body,person-resting
🧘‍♂️,man in lotus position,,,,,1F9D8 200D 2642 FE0F,fully-qualified,People & Body,person-resting
🧘🏻‍♂️,man in lotus position: light skin tone,,,,,1F9D8 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-resting
🧘🏼‍♂️,man in lotus position: medium-light skin tone,,,,,1F9D8 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-resting
🧘🏽‍♂️,man in lotus position: medium skin tone,,,,,1F9D8 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-resting
🧘🏾‍♂️,man in lotus position: medium-dark skin tone,,,,,1F9D8 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-resting
🧘🏿‍♂️,man in lotus position: dark skin tone,,,,,1F9D8 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-resting
🧘‍♀️,woman in lotus position,,,,,1F9D8 200D 2640 FE0F,fully-qualified,People & Body,person-resting
🧘🏻‍♀️,woman in lotus position: light skin tone,,,,,1F9D8 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-resting
🧘🏼‍♀️,woman in lotus position: medium-light skin tone,,,,,1F9D8 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-resting
🧘🏽‍♀️,woman in lotus position: medium skin tone,,,,,1F9D8 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-resting
🧘🏾‍♀️,woman in lotus position: medium-dark skin tone,,,,,1F9D8 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-resting
🧘🏿‍♀️,woman in lotus position: dark skin tone,,,,,1F9D8 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-resting
🛀,person taking bath,bathingtub,iconic,bathingtub,,1F6C0,fully-qualified,People & Body,person-resting
🛀🏻,person taking bath: light skin tone,,,,,1F6C0 1F3FB,fully-qualified,People & Body,person-resting
🛀🏼,person taking bath: medium-light skin tone,,,,,1F6C0 1F3FC,fully-qualified,People & Body,person-resting
🛀🏽,person taking bath: medium skin tone,,,,,1F6C0 1F3FD,fully-qualified,People & Body,person-resting
🛀🏾,person taking bath: medium-dark skin tone,,,,,1F6C0 1F3FE,fully-qualified,People & Body,person-resting
🛀🏿,person taking bath: dark skin tone,,,,,1F6C0 1F3FF,fully-qualified,People & Body,person-resting
🛌,person in bed,bed,iconic,bed,,1F6CC,fully-qualified,People & Body,person-resting
🛌🏻,person in bed: light skin tone,,,,,1F6CC 1F3FB,fully-qualified,People & Body,person-resting
🛌🏼,person in bed: medium-light skin tone,,,,,1F6CC 1F3FC,fully-qualified,People & Body,person-resting
🛌🏽,person in bed: medium skin tone,,,,,1F6CC 1F3FD,fully-qualified,People & Body,person-resting
🛌🏾,person in bed: medium-dark skin tone,,,,,1F6CC 1F3FE,fully-qualified,People & Body,person-resting
🛌🏿,person in bed: dark skin tone,,,,,1F6CC 1F3FF,fully-qualified,People & Body,person-resting
🧑‍🤝‍🧑,people holding hands,,,,,1F9D1 200D 1F91D 200D 1F9D1,fully-qualified,People & Body,family
🧑🏻‍🤝‍🧑🏻,people holding hands: light skin tone,,,,,1F9D1 1F3FB 200D 1F91D 200D 1F9D1 1F3FB,fully-qualified,People & Body,family
🧑🏻‍🤝‍🧑🏼,"people holding hands: light skin tone, medium-light skin tone",,,,,1F9D1 1F3FB 200D 1F91D 200D 1F9D1 1F3FC,fully-qualified,People & Body,family
🧑🏻‍🤝‍🧑🏽,"people holding hands: light skin tone, medium skin tone",,,,,1F9D1 1F3FB 200D 1F91D 200D 1F9D1 1F3FD,fully-qualified,People & Body,family
🧑🏻‍🤝‍🧑🏾,"people holding hands: light skin tone, medium-dark skin tone",,,,,1F9D1 1F3FB 200D 1F91D 200D 1F9D1 1F3FE,fully-qualified,People & Body,family
🧑🏻‍🤝‍🧑🏿,"people holding hands: light skin tone, dark skin tone",,,,,1F9D1 1F3FB 200D 1F91D 200D 1F9D1 1F3FF,fully-qualified,People & Body,family
🧑🏼‍🤝‍🧑🏻,"people holding hands: medium-light skin tone, light skin tone",,,,,1F9D1 1F3FC 200D 1F91D 200D 1F9D1 1F3FB,fully-qualified,People & Body,family
🧑🏼‍🤝‍🧑🏼,people holding hands: medium-light skin tone,,,,,1F9D1 1F3FC 200D 1F91D 200D 1F9D1 1F3FC,fully-qualified,People & Body,family
🧑🏼‍🤝‍🧑🏽,"people holding hands: medium-light skin tone, medium skin tone",,,,,1F9D1 1F3FC 200D 1F91D 200D 1F9D1 1F3FD,fully-qualified,People & Body,family
🧑🏼‍🤝‍🧑🏾,"people holding hands: medium-light skin tone, medium-dark skin tone",,,,,1F9D1 1F3FC 200D 1F91D 200D 1F9D1 1F3FE,fully-qualified,People & Body,family
